NOME	GRANDE_AREA	AREA	SUB_AREA	ESPECIALIDADE
WAGLANIA DE MENDONCA FAUSTINO	Ciências da Saúde	Enfermagem	Enfermagem de Saúde Pública	nan
FERNANDA MARIA CHIANCA DA SILVA	Ciências da Saúde	Enfermagem	Enfermagem Médico-Cirúrgica	nan
JACIRA DOS SANTOS OLIVEIRA	Ciências da Saúde	Enfermagem	Enfermagem Médico-Cirúrgica	nan
JOCELLY DE ARAUJO FERREIRA	Ciências da Saúde	Enfermagem	Enfermagem Médico-Cirúrgica	nan
MAILSON MARQUES DE SOUSA	Ciências da Saúde	Enfermagem	Enfermagem Médico-Cirúrgica	nan
MARIA ELIANE MOREIRA FREIRE	Ciências da Saúde	Enfermagem	Enfermagem Médico-Cirúrgica	nan
STELLA COSTA VALDEVINO	Ciências da Saúde	Enfermagem	Enfermagem Médico-Cirúrgica	nan
ALTAMIRA PEREIRA DA SILVA REICHERT	Ciências da Saúde	Enfermagem	Enfermagem Pediátrica	nan
LUANA RODRIGUES DE ALMEIDA	Ciências da Saúde	Enfermagem	Enfermagem Psiquiátrica	nan
SELENE CORDEIRO VASCONCELOS	Ciências da Saúde	Enfermagem	Enfermagem Psiquiátrica	nan
LUCIANA LUCENA ARANHA DE MACEDO	Ciências da Saúde	Farmácia	Análise e Controle de Medicamentos	nan
HEMERSON IURY FERREIRA MAGALHAES	Ciências da Saúde	Farmácia	Análise Toxicológica	nan
HEMERSON IURY FERREIRA MAGALHÃES	Ciências da Saúde	Farmácia	Análise Toxicológica	nan
HILZETH DE LUNA FREIRE PESSOA	Ciências da Saúde	Farmácia	Análise Toxicológica	nan
ISABELE BESERRA SANTOS GOMES	Ciências da Saúde	Farmácia	Análise Toxicológica	nan
MARGARETH DE FATIMA FORMIGA MELO DINIZ	Ciências da Saúde	Farmácia	Análise Toxicológica	nan
MARIANNA VIEIRA SOBRAL	Ciências da Saúde	Farmácia	Análise Toxicológica	nan
DAMIAO PERGENTINO DE SOUSA	Ciências da Saúde	Farmácia	Farmacognosia	nan
FELIPE QUEIROGA SARMENTO GUERRA	Ciências da Saúde	Farmácia	Farmacognosia	nan
ISAC ALMEIDA DE MEDEIROS	Ciências da Saúde	Farmácia	Farmacognosia	nan
ISLANIA GISELIA ALBUQUERQUE GONCALVES	Ciências da Saúde	Farmácia	Farmacognosia	nan
JOSE MARIA BARBOSA FILHO	Ciências da Saúde	Farmácia	Farmacognosia	nan
JOSEAN FECHINE TAVARES	Ciências da Saúde	Farmácia	Farmacognosia	nan
LEONIA MARIA BATISTA	Ciências da Saúde	Farmácia	Farmacognosia	nan
LUIZ HENRIQUE CESAR VASCONCELOS	Ciências da Saúde	Farmácia	Farmacognosia	nan
MARIA DE FATIMA VANDERLEI DE SOUZA	Ciências da Saúde	Farmácia	Farmacognosia	nan
FABIOLA BERNARDO CARNEIRO	Ciências da Saúde	Farmácia	Farmacotecnia	nan
FRANCISCO HUMBERTO XAVIER JÚNIOR	Ciências da Saúde	Farmácia	Farmacotecnia	nan
PABLO QUEIROZ LOPES	Ciências da Saúde	Farmácia	Farmacotecnia	nan
SILVANA TERESA LACERDA JALES	Ciências da Saúde	Farmácia	Farmacotecnia	nan
ALYNE KALYANE CAMARA DE OLIVEIRA	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
ANGELA CRISTINA DORNELAS DA SILVA	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
CAROLINA COUTO DA MATA	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
CLARICE RIBEIRO SOARES ARAUJO	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
DAILTON ALENCAR LUCAS DE LACERDA	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
EDUARDO ERIKO TENÓRIO DE FRANÇA	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
EGMAR LONGO HULL	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
GUSTAVO ARTUR MONZELI	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
IARA FALLEIROS BRAGA	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
ISABELA LEMOS ARTEIRO RIBEIRO LINS	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
JOSE HERISTON DE MORAIS LIMA	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
JOSE JAMACY DE ALMEIDA FERREIRA	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
JUERILA MOREIRA BARRETO	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
PALLOMA RODRIGUES DE ANDRADE	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
RAFAELA PEDROSA	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
ROBSON DA FONSECA NEVES	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
TATIANA ONOFRE GAMA	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
VALÉRIA MAYALY ALVES DE OLIVEIRA	Ciências da Saúde	Fisioterapia e Terapia Ocupacional	nan	nan
ANNA ALICE FIGUEIREDO DE ALMEIDA QUEIROZ	Ciências da Saúde	Fonoaudiologia	nan	nan
DÉBORA VASCONCELOS CORREIA	Ciências da Saúde	Fonoaudiologia	nan	nan
GIORVAN ANDERSON DOS SANTOS ALVES	Ciências da Saúde	Fonoaudiologia	nan	nan
ISABELLE CAHINO DELGADO	Ciências da Saúde	Fonoaudiologia	nan	nan
LEONARDO WANDERLEY LOPES	Ciências da Saúde	Fonoaudiologia	nan	nan
LUCIANA FIGUEIREDO DE OLIVEIRA	Ciências da Saúde	Fonoaudiologia	nan	nan
MARIA FABIANA BONFIM DE LIMA SILVA	Ciências da Saúde	Fonoaudiologia	nan	nan
MARINE RAQUEL DINIZ DA ROSA	Ciências da Saúde	Fonoaudiologia	nan	nan
PRISCILA OLIVEIRA COSTA SILVA	Ciências da Saúde	Fonoaudiologia	nan	nan
SILVIA DAMASCENO BENEVIDES	Ciências da Saúde	Fonoaudiologia	nan	nan
ADRIANO FRANCISCO ALVES	Ciências da Saúde	Medicina	Anatomia Patológica e Patologia Clínica	nan
RONALDO RODRIGUES SARMENTO	Ciências da Saúde	Medicina	Anatomia Patológica e Patologia Clínica	nan
MARCELO GONCALVES SOUSA	Ciências da Saúde	Medicina	Cirurgia	Cirurgia Gastroenterologia
CRISTIANA MARQUES DE ARAUJO	Ciências da Saúde	Medicina	Clínica Médica	Cardiologia
MARCELO DANTAS TAVARES DE MELO	Ciências da Saúde	Medicina	Clínica Médica	Cardiologia
CLAUDIO ROBERTO BEZERRA DOS SANTOS	Ciências da Saúde	Medicina	Clínica Médica	Dermatologia
ESTHER BASTOS PALITOT DE BRITO	Ciências da Saúde	Medicina	Clínica Médica	Dermatologia
JOANNE ELIZABETH FERRAZ DA COSTA	Ciências da Saúde	Medicina	Clínica Médica	Dermatologia
BRUNO HENRIQUE ANDRADE GALVAO	Ciências da Saúde	Medicina	Clínica Médica	Doenças Infecciosas e Parasitárias
JOSE SOARES DO NASCIMENTO	Ciências da Saúde	Medicina	Clínica Médica	Doenças Infecciosas e Parasitárias
MONICA SOUZA DE MIRANDA HENRIQUES	Ciências da Saúde	Medicina	Clínica Médica	Gastroenterologia
AGOSTINHO HERMES DE MEDEIROS NETO	Ciências da Saúde	Medicina	Clínica Médica	Pneumologia
MARIA ALENITA DE OLIVEIRA	Ciências da Saúde	Medicina	Clínica Médica	Pneumologia
ANDRE TELIS DE VILELA ARAUJO	Ciências da Saúde	Medicina	Psiquiatria	nan
ESTACIO AMARO DA SILVA JUNIOR	Ciências da Saúde	Medicina	Psiquiatria	nan
AURELIANA BARBOZA DA SILVA	Ciências da Saúde	Medicina	Saúde Materno-Infantil	nan
CRISTINA WIDE PISSETTI	Ciências da Saúde	Medicina	Saúde Materno-Infantil	nan
CYNTHIA GERMOGLIO FARIAS DE MELO	Ciências da Saúde	Medicina	Saúde Materno-Infantil	nan
EDUARDO SERGIO SOARES SOUSA	Ciências da Saúde	Medicina	Saúde Materno-Infantil	nan
ENEAS RICARDO DE MORAIS GOMES	Ciências da Saúde	Medicina	Saúde Materno-Infantil	nan
JULIANA SOUSA SOARES DE ARAUJO	Ciências da Saúde	Medicina	Saúde Materno-Infantil	nan
LAKYME ANGELO MANGUEIRA PORTO	Ciências da Saúde	Medicina	Saúde Materno-Infantil	nan
VALDEREZ ARAUJO DE LIMA RAMOS	Ciências da Saúde	Medicina	Saúde Materno-Infantil	nan
CINTHIA KARLA RODRIGUES DO MONTE GUEDES	Ciências da Saúde	Nutrição	Análise Nutricional de População	nan
JOSE LUIZ DE BRITO ALVES	Ciências da Saúde	Nutrição	Análise Nutricional de População	nan
KATIA RAU DE ALMEIDA CALLOU	Ciências da Saúde	Nutrição	Análise Nutricional de População	nan
MARIA DA CONCEICAO RODRIGUES GONCALVES	Ciências da Saúde	Nutrição	Análise Nutricional de População	nan
PAMELA RODRIGUES MARTINS LINS	Ciências da Saúde	Nutrição	Análise Nutricional de População	nan
RAFAELA LIRA FORMIGA CAVALCANTI DE LIMA	Ciências da Saúde	Nutrição	Análise Nutricional de População	nan
VANESSA MESSIAS MUNIZ	Ciências da Saúde	Nutrição	Análise Nutricional de População	nan
ANA PAULA MORAES VENTURA	Ciências da Saúde	Nutrição	Bioquímica da Nutrição	nan
JAILANE DE SOUZA AQUINO	Ciências da Saúde	Nutrição	Bioquímica da Nutrição	nan
VINICIUS JOSE BACCIN MARTINS	Ciências da Saúde	Nutrição	Desnutrição e Desenvolvimento Fisiológico	nan
INGRID CONCEICAO DANTAS GONCALVES	Ciências da Saúde	Nutrição	Dietética	nan
NOADIA PRISCILA ARAUJO RODRIGUES	Ciências da Saúde	Nutrição	Dietética	nan
EDUARDO DIAS RIBEIRO	Ciências da Saúde	Odontologia	Cirurgia Buco-Maxilo-Facial	nan
ANA CAROLINA LYRA DE ALBUQUERQUE	Ciências da Saúde	Odontologia	Clínica Odontológica	nan
CARMEM SILVIA LAUREANO DALLE PIAGGE	Ciências da Saúde	Odontologia	Clínica Odontológica	nan
CLAUDIA BATISTA MELO	Ciências da Saúde	Odontologia	Clínica Odontológica	nan
DAYANE FRANCO BARROS MANGUEIRA LEITE	Ciências da Saúde	Odontologia	Clínica Odontológica	nan
DIEGO NUNES GUEDES	Ciências da Saúde	Odontologia	Clínica Odontológica	nan
ISABELA ALBUQUERQUE PASSOS FARIAS	Ciências da Saúde	Odontologia	Clínica Odontológica	nan
LEOPOLDINA DE F DANTAS DE ALMEIDA	Ciências da Saúde	Odontologia	Clínica Odontológica	nan
PAULO ROGERIO FERRETI BONAN	Ciências da Saúde	Odontologia	Clínica Odontológica	nan
RICARDO DIAS DE CASTRO	Ciências da Saúde	Odontologia	Clínica Odontológica	nan
SONIA SAEGER MEIRELES MONTE RASO	Ciências da Saúde	Odontologia	Clínica Odontológica	nan
TULIO PESSOA DE ARAUJO	Ciências da Saúde	Odontologia	Clínica Odontológica	nan
FREDERICO BARBOSA DE SOUSA	Ciências da Saúde	Odontologia	Endodontia	nan
LUCIANA FERRAZ GOMINHO	Ciências da Saúde	Odontologia	Endodontia	nan
ANA KARINA MACIEL DE ANDRADE	Ciências da Saúde	Odontologia	Materiais Odontológicos	nan
ANDRE ULISSES DANTAS BATISTA	Ciências da Saúde	Odontologia	Materiais Odontológicos	nan
RAQUEL VENANCIO FERNANDES DANTAS	Ciências da Saúde	Odontologia	Materiais Odontológicos	nan
ROBINSOM VIEGAS MONTENEGRO	Ciências da Saúde	Odontologia	Materiais Odontológicos	nan
ANA MARIA BARROS CHAVES PEREIRA	Ciências da Saúde	Odontologia	Odontologia Social e Preventiva	nan
ANDRESSA FEITOSA BEZERRA DE OLIVEIRA	Ciências da Saúde	Odontologia	Odontologia Social e Preventiva	nan
ANE POLLINE LACERDA PROTASIO	Ciências da Saúde	Odontologia	Odontologia Social e Preventiva	nan
BIANCA MARQUES SANTIAGO	Ciências da Saúde	Odontologia	Odontologia Social e Preventiva	nan
EDSON HILAN GOMES DE LUCENA	Ciências da Saúde	Odontologia	Odontologia Social e Preventiva	nan
HUGO RAMALHO SARMENTO	Ciências da Saúde	Odontologia	Odontologia Social e Preventiva	nan
JOCIANELLE MARIA FELIX FERNANDES NUNES	Ciências da Saúde	Odontologia	Odontologia Social e Preventiva	nan
LAISE NASCIMENTO CORREIA LIMA	Ciências da Saúde	Odontologia	Odontologia Social e Preventiva	nan
TALITHA RODRIGUES RIBEIRO FERNANDES PESSOA	Ciências da Saúde	Odontologia	Odontologia Social e Preventiva	nan
YURI WANDERLEY CAVALCANTI	Ciências da Saúde	Odontologia	Odontologia Social e Preventiva	nan
ELIANE BATISTA DE MEDEIROS SERPA	Ciências da Saúde	Odontologia	Odontopediatria	nan
SABRINA GARCIA DE AQUINO	Ciências da Saúde	Odontologia	Periodontia	nan
FLAVIA EMILIA LEITE DE LIMA FERREIRA	Ciências da Saúde	Saúde Coletiva	Epidemiologia	nan
FRANKLIN DELANO SOARES FORTE	Ciências da Saúde	Saúde Coletiva	Epidemiologia	nan
VILSON LACERDA BRASILEIRO JUNIOR	Ciências da Saúde	Saúde Coletiva	Epidemiologia	nan
WILTON WILNEY NASCIMENTO PADILHA	Ciências da Saúde	Saúde Coletiva	Epidemiologia	nan
TIAGO SALESSI LINS	Ciências da Saúde	Saúde Coletiva	Medicina Preventiva	nan
ALEXANDRE MEDEIROS DE FIGUEREDO	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
ANDRE LUIS BONIFACIO DE CARVALHO	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
ANSELMO CLEMENTE	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
BALDUINO GUEDES FERNANDES DA CUNHA	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
CLAUDIA HELENA SOARES DE MORAIS FREITAS	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
DANIELLA DE SOUZA BARBOSA	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
DILMA LUCENA DE OLIVEIRA	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
FILIPE FERREIRA DA COSTA	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
GABRIEL RODRIGUES MARTINS DE FREITAS	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
GABRIELLA BARRETO SOARES	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
GISELY MARIA FREIRE ABILIO DE CASTRO	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
JANAÍNA VON SOHSTEN TRIGUEIRO	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
JOÃO FELIPE BEZERRA	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
JULIANA SAMPAIO	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
MARCOS OLIVEIRA DIAS VASCONCELOS	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
MARIA DO SOCORRO TRINDADE MORAIS	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
MARILIA MEYER BREGALDA	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
PEDRO JOSÉ SANTOS CARNEIRO CRUZ	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
RICARDO DE SOUSA SOARES	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
THAIS TELES DE SOUZA	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
WALLERI CHRISTINI TORELLI REIS	Ciências da Saúde	Saúde Coletiva	Saúde Pública	nan
