NOME	GRANDE_AREA	AREA	SUB_AREA	ESPECIALIDADE
EDER DA SILVA DANTAS	Ciências Humanas	Educação	Fundamentos da Educação	História da Educação
EVELYN FERNANDES AZEVEDO FAHEINA	Ciências Humanas	Educação	Fundamentos da Educação	História da Educação
FABIANA SENA DA SILVA	Ciências Humanas	Educação	Fundamentos da Educação	História da Educação
ITACYARA VIANA MIRANDA	Ciências Humanas	Educação	Fundamentos da Educação	História da Educação
JEAN CARLO DE CARVALHO COSTA	Ciências Humanas	Educação	Fundamentos da Educação	História da Educação
MAURICEIA ANANIAS	Ciências Humanas	Educação	Fundamentos da Educação	História da Educação
NAYANA RODRIGUES CORDEIRO MARIANO	Ciências Humanas	Educação	Fundamentos da Educação	História da Educação
VIVIA DE MELO SILVA	Ciências Humanas	Educação	Fundamentos da Educação	História da Educação
MARIA DAS GRACAS DE ALMEIDA BAPTISTA	Ciências Humanas	Educação	Fundamentos da Educação	Psicologia Educacional
ORLANDIL DE LIMA MOREIRA	Ciências Humanas	Educação	Fundamentos da Educação	Sociologia da Educação
ANA CELIA SILVA MENEZES	Ciências Humanas	Educação	Planejamento e Avaliação Educacional	Política Educacional
ANA PAULA FURTADO SOARES PONTES	Ciências Humanas	Educação	Planejamento e Avaliação Educacional	Política Educacional
EDINEIDE JEZINI MESQUITA ARAUJO	Ciências Humanas	Educação	Planejamento e Avaliação Educacional	Política Educacional
MARIANO CASTRO NETO	Ciências Humanas	Educação	Planejamento e Avaliação Educacional	Política Educacional
EDUARDO ANTONIO DE PONTES COSTA	Ciências Humanas	Educação	Tópicos Específicos de Educação	Educação de Adultos
JANINE MARTA COELHO RODRIGUES	Ciências Humanas	Educação	Tópicos Específicos de Educação	Educação em Periferias Urbanas
ADENIZE QUEIROZ DE FARIAS	Ciências Humanas	Educação	Tópicos Específicos de Educação	Educação Especial
MUNIQUE MASSARO	Ciências Humanas	Educação	Tópicos Específicos de Educação	Educação Especial
NILVANIA DOS SANTOS SILVA	Ciências Humanas	Educação	Tópicos Específicos de Educação	Educação Rural
SEVERINO BEZERRA DA SILVA	Ciências Humanas	Educação	Tópicos Específicos de Educação	Educação Rural
DIEGO DOS SANTOS REIS	Ciências Humanas	Educação	Tópicos Específicos de Educação	nan
MARIA EULINA PESSOA DE CARVALHO	Ciências Humanas	Educação	Tópicos Específicos de Educação	nan
MARIANA LINS DE OLIVEIRA	Ciências Humanas	Educação	Tópicos Específicos de Educação	nan
MARCONI JOSE PIMENTEL PEQUENO	Ciências Humanas	Filosofia	Ética	nan
WECIO PINHEIRO ARAUJO	Ciências Humanas	Filosofia	Ética	nan
DIEGO PINHEIRO FERNANDES	Ciências Humanas	Filosofia	Lógica	nan
HERMOGENES HEBERT PEREIRA OLIVEIRA	Ciências Humanas	Filosofia	Lógica	nan
GILFRANCO LUCENA DOS SANTOS	Ciências Humanas	Filosofia	Metafísica	nan
MARCO ANTONIO MITIDIERO JUNIOR	Ciências Humanas	Geografia	Geografia Humana	Geografia Agrária
MARIA FRANCO GARCIA	Ciências Humanas	Geografia	Geografia Humana	Geografia Agrária
ALEXANDRE SABINO DO NASCIMENTO	Ciências Humanas	Geografia	Geografia Humana	Geografia Urbana
RAFAEL FALEIROS DE PADUA	Ciências Humanas	Geografia	Geografia Humana	Geografia Urbana
GUILHERME QUEIROZ DE SOUZA	Ciências Humanas	História	História Antiga e Medieval	nan
PRISCILLA GONTIJO LEITE	Ciências Humanas	História	História Antiga e Medieval	nan
SERIOJA RODRIGUES CORDEIRO MARIANO	Ciências Humanas	História	História do Brasil	História do Brasil Império
ANA BEATRIZ RIBEIRO BARROS SILVA	Ciências Humanas	História	História do Brasil	História do Brasil República
PAULO GIOVANI ANTONINO NUNES	Ciências Humanas	História	História do Brasil	História do Brasil República
RODRIGO FREIRE DE CARVALHO E SILVA	Ciências Humanas	História	História do Brasil	História do Brasil República
MONIQUE GUIMARAES CITTADINO	Ciências Humanas	História	História do Brasil	História Regional do Brasil
CARLA MARY DA SILVA OLIVEIRA	Ciências Humanas	História	História Moderna e Contemporânea	nan
CARLA ALEXANDRA DA SILVA MOITA MINERVINO	Ciências Humanas	Psicologia	Fundamentos e Medidas da Psicologia	Construção e Validade de Testes Escalas e Outras Medidas Psicológicas
SHIRLEY DE SOUZA SILVA SIMEÃO	Ciências Humanas	Psicologia	Fundamentos e Medidas da Psicologia	Construção e Validade de Testes Escalas e Outras Medidas Psicológicas
ISABEL CRISTINA VASCONCELOS DE OLIVEIRA	Ciências Humanas	Psicologia	Fundamentos e Medidas da Psicologia	nan
EMILLE BURITY DIAS	Ciências Humanas	Psicologia	Psicologia Cognitiva	nan
MELYSSA KELLYANE CAVALCANTI GALDINO	Ciências Humanas	Psicologia	Psicologia Cognitiva	nan
MONICA DE FATIMA BATISTA CORREIA	Ciências Humanas	Psicologia	Psicologia Cognitiva	nan
JULIO RIQUE NETO	Ciências Humanas	Psicologia	Psicologia do Desenvolvimento Humano	Desenvolvimento Social e da Personalidade
ROMULO LUSTOSA PIMENTEIRA DE MELO	Ciências Humanas	Psicologia	Psicologia do Desenvolvimento Humano	Desenvolvimento Social e da Personalidade
LILIAN KELLY DE SOUSA GALVAO	Ciências Humanas	Psicologia	Psicologia do Desenvolvimento Humano	Processos Perceptuais e Cognitivos Desenvolvimento
ANISIO JOSE DA SILVA ARAUJO	Ciências Humanas	Psicologia	Psicologia do Trabalho e Organizacional	Fatores Humanos no Trabalho
MANUELLA CASTELO BRANCO PESSOA	Ciências Humanas	Psicologia	Psicologia do Trabalho e Organizacional	Fatores Humanos no Trabalho
THAIS AUGUSTA CUNHA DE OLIVEIRA MAXIMO	Ciências Humanas	Psicologia	Psicologia do Trabalho e Organizacional	Fatores Humanos no Trabalho
PAULO CESAR ZAMBRONI DE SOUZA	Ciências Humanas	Psicologia	Psicologia do Trabalho e Organizacional	nan
TATIANA DE LUCENA TORRES	Ciências Humanas	Psicologia	Psicologia do Trabalho e Organizacional	nan
NATANAEL ANTONIO DOS SANTOS	Ciências Humanas	Psicologia	Psicologia Experimental	Processos Perceptuais e Motores
NELSON TORRO ALVES	Ciências Humanas	Psicologia	Psicologia Experimental	nan
FLAVIO FREITAS BARBOSA	Ciências Humanas	Psicologia	Psicologia Fisiológica	Psicobiologia
MIRIAN GRACIELA DA SILVA STIEBBE SALVADORI	Ciências Humanas	Psicologia	Psicologia Fisiológica	Psicobiologia
PATRICIA NUNES DA FONSECA	Ciências Humanas	Psicologia	Psicologia Social	Papéis e Estruturas Sociais Indivíduo
TAMARA RAMALHO DE SOUSA AMORIM	Ciências Humanas	Psicologia	Psicologia Social	Papéis e Estruturas Sociais Indivíduo
CARLOS EDUARDO PIMENTEL	Ciências Humanas	Psicologia	Psicologia Social	nan
HENRIQUE JORGE SIMOES BEZERRA	Ciências Humanas	Psicologia	Psicologia Social	nan
SANDRA SOUZA DA SILVA	Ciências Humanas	Psicologia	Tratamento e Prevenção Psicológica	Intervenção Terapêutica
CARMEN WALENTINA AMORIM GAUDENCIO BEZERRA	Ciências Humanas	Psicologia	Tratamento e Prevenção Psicológica	Programas de Atendimento Comunitário
REJANE GOMES CARVALHO	Ciências Humanas	Sociologia	Sociologia do Desenvolvimento	nan
ANIELSON BARBOSA DA SILVA	Ciências Sociais Aplicadas	Administração	Administração de Empresas	nan
ANA CAROLINA KRUTA DE ARAUJO BISPO	Ciências Sociais Aplicadas	Administração	Administração de Setores Específicos	nan
CRISTIANE BEZERRA LIBORIO CORREIA	Ciências Sociais Aplicadas	Administração	Administração de Setores Específicos	nan
VALERIA LOUISE DE ARAUJO MARANHAO SATURNINO SILVA	Ciências Sociais Aplicadas	Administração	Administração de Setores Específicos	nan
LUCIMEIRY BATISTA DA SILVA RABAY	Ciências Sociais Aplicadas	Administração	Administração Pública	Administração de Pessoal
JOSEDILTON ALVES DINIZ	Ciências Sociais Aplicadas	Administração	Administração Pública	Contabilidade e Finanças Públicas
JAMES BATISTA VIEIRA	Ciências Sociais Aplicadas	Administração	Administração Pública	Política e Planejamento Governamentais
DIMAS BARRETO DE QUEIROZ	Ciências Sociais Aplicadas	Administração	Ciências Contábeis	nan
KARLA KATIUSCIA NOBREGA DE ALMEIDA	Ciências Sociais Aplicadas	Administração	Ciências Contábeis	nan
MARIA DANIELLA DE OLIVEIRA PEREIRA DA SILVA	Ciências Sociais Aplicadas	Administração	Ciências Contábeis	nan
MOISES ARAUJO ALMEIDA	Ciências Sociais Aplicadas	Administração	Ciências Contábeis	nan
ROBERIO DANTAS DE FRANCA	Ciências Sociais Aplicadas	Administração	Ciências Contábeis	nan
TIAGO HENRIQUE DE SOUZA ECHTERNACHT	Ciências Sociais Aplicadas	Administração	Ciências Contábeis	nan
WENNER GLAUCIO LOPES LUCENA	Ciências Sociais Aplicadas	Administração	Ciências Contábeis	nan
LUCY DONEGAN	Ciências Sociais Aplicadas	Arquitetura e Urbanismo	Projeto de Arquitetura e Urbanismo	Planejamento e Projeto do Espaço Urbano
FELIPE TAVARES DA SILVA	Ciências Sociais Aplicadas	Arquitetura e Urbanismo	Projeto de Arquitetura e Urbanismo	Planejamento e Projetos da Edificação
ANGELINA DIAS LEAO COSTA	Ciências Sociais Aplicadas	Arquitetura e Urbanismo	Projeto de Arquitetura e Urbanismo	nan
ANA GOMES NEGRAO	Ciências Sociais Aplicadas	Arquitetura e Urbanismo	Tecnologia de Arquitetura e Urbanismo	Adequação Ambiental
IVANIZE CLAUDIA DOS SANTOS E SILVA	Ciências Sociais Aplicadas	Arquitetura e Urbanismo	Tecnologia de Arquitetura e Urbanismo	Adequação Ambiental
JULIANA MAGNA DA SILVA COSTA MORAIS	Ciências Sociais Aplicadas	Arquitetura e Urbanismo	Tecnologia de Arquitetura e Urbanismo	Adequação Ambiental
ANA CLÁUDIA CRUZ CÓRDULA	Ciências Sociais Aplicadas	Ciência da Informação	Arquivologia	Organização de Arquivos
CLAUDIALYNE DA SILVA ARAUJO	Ciências Sociais Aplicadas	Ciência da Informação	Arquivologia	Organização de Arquivos
LUIZ EDUARDO FERREIRA DA SILVA	Ciências Sociais Aplicadas	Ciência da Informação	Arquivologia	Organização de Arquivos
ELIA ELISA CIA ALVES	Ciências Sociais Aplicadas	Ciência da Informação	Biblioteconomia	Métodos Quantitativos. Bibliometria
IZABEL FRANCA DE LIMA	Ciências Sociais Aplicadas	Ciência da Informação	Biblioteconomia	Técnicas de Recuperação de Informação
MARIA ELIZABETH BALTAR CARNEIRO DE ALBUQUERQUE	Ciências Sociais Aplicadas	Ciência da Informação	Biblioteconomia	Técnicas de Recuperação de Informação
ALZIRA KARLA ARAUJO DA SILVA	Ciências Sociais Aplicadas	Ciência da Informação	Biblioteconomia	nan
GISELE ROCHA CORTES	Ciências Sociais Aplicadas	Ciência da Informação	Biblioteconomia	nan
HENRY PONCIO CRUZ DE OLIVEIRA	Ciências Sociais Aplicadas	Ciência da Informação	Teoria da Informação	Teoria Geral da Informação
LUCIANA FERREIRA DA COSTA	Ciências Sociais Aplicadas	Ciência da Informação	Teoria da Informação	Teoria Geral da Informação
FLÁVIA AFFONSO MAYER	Ciências Sociais Aplicadas	Comunicação	Comunicação Visual	nan
LUIZ ANTONIO MOUSINHO MAGALHAES	Ciências Sociais Aplicadas	Comunicação	Comunicação Visual	nan
PAULO HENRIQUE SOUTO MAIOR SERRANO	Ciências Sociais Aplicadas	Comunicação	Comunicação Visual	nan
SANDRA REGINA MOURA	Ciências Sociais Aplicadas	Comunicação	Jornalismo e Editoração	Organização Editorial de Jornais
GLORIA DE LOURDES FREIRE RABAY	Ciências Sociais Aplicadas	Comunicação	Jornalismo e Editoração	Teoria e Ética do Jornalismo
ZULMIRA NOBREGA PIVA DE CARVALHO	Ciências Sociais Aplicadas	Comunicação	Jornalismo e Editoração	Teoria e Ética do Jornalismo
RODRIGO MARTINS ARAGAO	Ciências Sociais Aplicadas	Comunicação	Rádio e Televisão	Videodifusão
CAROLINE DELEVATI COLPO	Ciências Sociais Aplicadas	Comunicação	Relações Públicas e Propaganda	nan
FELLIPE SÁ BRASILEIRO	Ciências Sociais Aplicadas	Comunicação	Relações Públicas e Propaganda	nan
EVERLANE SUANE DE ARAÚJO DA SILVA	Ciências Sociais Aplicadas	Demografia	Componentes da Dinâmica Demográfica	Mortalidade
ADRIANO MARTELETO GODINHO	Ciências Sociais Aplicadas	Direito	Direito Privado	Direito Civil
ANA PAULA CORREIA DE ALBUQUERQUE DA COSTA	Ciências Sociais Aplicadas	Direito	Direito Privado	Direito Civil
ALESSANDRA DANIELLE CARNEIRO DOS SANTOS HILARIO	Ciências Sociais Aplicadas	Direito	Direito Público	Direito Constitucional
JAILTON MACENA DE ARAÚJO	Ciências Sociais Aplicadas	Direito	Direito Público	Direito Constitucional
MARIA GORETTI DAL BOSCO	Ciências Sociais Aplicadas	Direito	Direito Público	Direito Constitucional
ALESSANDRA CORREIA LIMA MACEDO FRANCA	Ciências Sociais Aplicadas	Direito	Direito Público	Direito Internacional Público
SVEN PETERKE	Ciências Sociais Aplicadas	Direito	Direito Público	Direito Penal
LUIS CARLOS DOS SANTOS LIMA SOBRINHO	Ciências Sociais Aplicadas	Direito	Direito Público	nan
MARCILIO TOSCANO FRANCA FILHO	Ciências Sociais Aplicadas	Direito	Direito Público	nan
ANA PAULA BASSO	Ciências Sociais Aplicadas	Direito	Direitos Especiais	nan
GUSTAVO BARBOSA DE MESQUITA BATISTA	Ciências Sociais Aplicadas	Direito	Direitos Especiais	nan
LUDMILA CERQUEIRA CORREIA	Ciências Sociais Aplicadas	Direito	Direitos Especiais	nan
TATYANE GUIMARAES OLIVEIRA	Ciências Sociais Aplicadas	Direito	Direitos Especiais	nan
ROBERTO CORDOVILLE EFREM DE LIMA FILHO	Ciências Sociais Aplicadas	Direito	Teoria do Direito	Antropologia Jurídica
GISCARD FARIAS AGRA	Ciências Sociais Aplicadas	Direito	Teoria do Direito	História do Direito
HUGO BELARMINO DE MORAIS	Ciências Sociais Aplicadas	Direito	Teoria do Direito	Sociologia Jurídica
NELSON GOMES DE SANT ANA E SILVA JUNIOR	Ciências Sociais Aplicadas	Direito	Teoria do Direito	Sociologia Jurídica
PAULO AGUIAR DO MONTE	Ciências Sociais Aplicadas	Economia	Economia dos Recursos Humanos	Mercado de Trabalho Política do Governo
LUCAS MILANEZ DE LIMA ALMEIDA	Ciências Sociais Aplicadas	Economia	Economia Internacional	Relações do Comércio Política Comercial Integração Econômica
ADRIANO FIRMINO VALDEVINO DE ARAUJO	Ciências Sociais Aplicadas	Economia	Economia Regional e Urbana	Economia Regional
JOSE LUIS DA SILVA NETTO JUNIOR	Ciências Sociais Aplicadas	Economia	Economia Regional e Urbana	Economia Regional
LIEDJE BETTIZAIDE OLIVEIRA DE SIQUEIRA	Ciências Sociais Aplicadas	Economia	Economia Regional e Urbana	Economia Regional
LUIZ MOREIRA COELHO JUNIOR	Ciências Sociais Aplicadas	Economia	Economia Regional e Urbana	Economia Regional
MAGNO VAMBERTO BATISTA DA SILVA	Ciências Sociais Aplicadas	Economia	Economia Regional e Urbana	Economia Regional
MARCIA BATISTA DA FONSECA	Ciências Sociais Aplicadas	Economia	Economias Agrária e dos Recursos Naturais	Economia dos Recursos Naturais
ALINE MARIA BATISTA MACHADO	Ciências Sociais Aplicadas	Serviço Social	Fundamentos do Serviço Social	nan
CLAUDIA MARIA COSTA GOMES	Ciências Sociais Aplicadas	Serviço Social	Fundamentos do Serviço Social	nan
DANIELLE VIANA LUGO PEREIRA	Ciências Sociais Aplicadas	Serviço Social	Fundamentos do Serviço Social	nan
JUARY LUÍS CHAGAS	Ciências Sociais Aplicadas	Serviço Social	Fundamentos do Serviço Social	nan
MARIA DE FATIMA LEITE GOMES	Ciências Sociais Aplicadas	Serviço Social	Serviço Social Aplicado	Serviço Social da Educação
EMANUEL LUIZ PEREIRA DA SILVA	Ciências Sociais Aplicadas	Serviço Social	Serviço Social Aplicado	nan
ADRIANA BRAMBILLA	Ciências Sociais Aplicadas	Turismo	nan	nan
ILANA BARRETO KIYOTANI	Ciências Sociais Aplicadas	Turismo	nan	nan
MARCLEIDE MARIA MACEDO PEDERNEIRAS	Ciências Sociais Aplicadas	Turismo	nan	nan
SICILIA CALADO FREITAS	Lingüística Letras e Artes	Artes	Artes Plásticas	nan
LIRIA DE ARAUJO MORAIS	Lingüística Letras e Artes	Artes	Dança	Coreografia
ANA VALERIA RAMOS VICENTE	Lingüística Letras e Artes	Artes	Dança	Execução da Dança
MICHELLE APARECIDA GABRIELLI BOAVENTURA	Lingüística Letras e Artes	Artes	Dança	nan
ROBSON XAVIER DA COSTA	Lingüística Letras e Artes	Artes	Fundamentos e Crítica das Artes	Teoria da Arte
SABRINA FERNANDES MELO	Lingüística Letras e Artes	Artes	Fundamentos e Crítica das Artes	nan
ALICE LUMI SATOMI	Lingüística Letras e Artes	Artes	Música	Instrumentação Musical
JUCIANE ARALDI BELTRAME	Lingüística Letras e Artes	Artes	Música	Instrumentação Musical
LUIS RICARDO SILVA QUEIROZ	Lingüística Letras e Artes	Artes	Música	nan
MAURA LUCIA FERNANDES PENNA	Lingüística Letras e Artes	Artes	Música	nan
MARCIA CHIAMULERA	Lingüística Letras e Artes	Artes	Teatro	nan
MARCO VALERIO CLASSE COLONNELLI	Lingüística Letras e Artes	Letras	Línguas Clássicas	nan
GUSTAVO LOPEZ ESTIVALET	Lingüística Letras e Artes	Letras	Línguas Estrangeiras Modernas	nan
ANA CLAUDIA FELIX GUALBERTO	Lingüística Letras e Artes	Letras	Literatura Brasileira	nan
HERMANO DE FRANCA RODRIGUES	Lingüística Letras e Artes	Letras	Literatura Comparada	nan
DANIELLE DE LUNA E SILVA	Lingüística Letras e Artes	Letras	Literaturas Estrangeiras Modernas	nan
MARIA APARECIDA DE OLIVEIRA	Lingüística Letras e Artes	Letras	Literaturas Estrangeiras Modernas	nan
MARIA ELIZABETH PEREGRINO SOUTO MAIOR MENDES	Lingüística Letras e Artes	Letras	Literaturas Estrangeiras Modernas	nan
DANIELA MARIA SEGABINAZI	Lingüística Letras e Artes	Letras	Outras Literaturas Vernáculas	nan
RENATA GONCALVES GOMES	Lingüística Letras e Artes	Letras	Teoria Literária	nan
EDJANE GOMES DE ASSIS	Lingüística Letras e Artes	Lingüística	Filosofia da Linguagem	nan
JOSE WELLISTEN ABREU DE SOUZA	Lingüística Letras e Artes	Lingüística	Lingüística Aplicada	nan
LEONARDO GUEIROS DA SILVA	Lingüística Letras e Artes	Lingüística	Lingüística Aplicada	nan
MARLUCE PEREIRA DA SILVA	Lingüística Letras e Artes	Lingüística	Lingüística Aplicada	nan
REGINA CELI MENDES PEREIRA DA SILVA	Lingüística Letras e Artes	Lingüística	Lingüística Aplicada	nan
EVANGELINA MARIA BRITO DE FARIA	Lingüística Letras e Artes	Lingüística	Psicolingüística	nan
JAN EDSON RODRIGUES LEITE	Lingüística Letras e Artes	Lingüística	Psicolingüística	nan
MARCIO MARTINS LEITAO	Lingüística Letras e Artes	Lingüística	Psicolingüística	nan
CAROLINA GOMES DA SILVA	Lingüística Letras e Artes	Lingüística	Sociolingüística e Dialetologia	nan
DENILSON PEREIRA DE MATOS	Lingüística Letras e Artes	Lingüística	Teoria e Análise Lingüística	nan
ANDREA FARIAS DE ALMEIDA	Multidisciplinar	Biotecnologia	nan	nan
EDSON LUIZ FOLADOR	Multidisciplinar	Biotecnologia	nan	nan
MARTA MARIA DA CONCEICAO	Multidisciplinar	Biotecnologia	nan	nan
HAMILCAR JOSE ALMEIDA FILGUEIRA	Multidisciplinar	Ciências Ambientais	nan	nan
NATALY ALBUQUERQUE DOS SANTOS	Multidisciplinar	Ciências Ambientais	nan	nan
ULRICH VASCONCELOS DA ROCHA GOMES	Multidisciplinar	Ciências Ambientais	nan	nan
LIANA CLEBIA DE MORAIS PORDEUS	Multidisciplinar	Interdisciplinar	Saúde e Biológicas	nan
THAIS GAUDENCIO DO REGO	Multidisciplinar	Interdisciplinar	Saúde e Biológicas	nan
JAILSON JOSE GOMES DA ROCHA	Multidisciplinar	Interdisciplinar	Sociais e Humanidades	nan
ROBERTO VILMAR SATUR	Multidisciplinar	Interdisciplinar	Sociais e Humanidades	nan
POLLYANA CAETANO RIBEIRO FERNANDES	Multidisciplinar	Materias	nan	nan
