0 1 2 
341 243 250 
342 238 248 
343 240 246 
344 242 249 
345 236 240 
346 239 241 
347 240 248 
348 232 239 
349 263 268 
350 270 271 
351 267 269 
352 258 269 
353 266 267 
354 258 266 
355 260 262 
356 262 266 
357 261 268 
358 258 271 
359 267 269 
360 259 269 
361 268 270 
362 264 271 
363 259 260 
364 259 265 
365 265 271 
366 264 270 
367 265 267 
368 259 260 
369 258 265 
370 264 268 
371 264 270 
372 295 299 
373 276 293 
374 275 279 
375 274 290 
376 273 285 
377 272 290 
378 284 292 
379 274 283 
380 279 283 
381 279 288 
382 287 298 
383 286 291 
384 291 293 
385 295 297 
386 287 296 
387 282 291 
388 281 285 
389 280 287 
390 282 290 
391 277 289 
392 282 283 
393 293 294 
394 278 296 
395 273 283 
396 282 294 
397 291 293 
398 272 290 
399 279 285 
400 285 300 
401 281 297 
402 274 289 
403 272 287 
404 272 297 
405 303 306 
406 303 306 
407 303 306 
408 304 305 
409 301 304 
410 301 306 
411 302 305 
412 302 304 
413 301 305 
414 303 305 
415 309 310 
416 310 312 
417 308 313 
418 309 311 
419 311 313 
420 311 312 
421 308 311 
422 307 312 
423 307 314 
424 309 312 
425 307 314 
426 307 309 
427 308 314 
428 310 313 
429 310 314 
430 319 323 
431 317 322 
432 322 324 
433 316 319 
434 321 323 
435 315 322 
436 322 323 
437 316 318 
438 316 319 
439 319 320 
440 321 324 
441 318 324 
442 318 324 
443 316 323 
444 328 332 
445 330 331 
446 331 333 
447 332 333 
448 329 332 
449 325 332 
450 326 327 
451 326 333 
452 325 328 
453 325 328 
454 327 331 
455 328 333 
456 336 341 
457 336 339 
458 340 341 
459 335 341 
460 340 341 
461 340 342 
462 337 338 
463 335 337 
464 335 337 
465 335 336 
466 336 338 
467 349 354 
468 348 366 
469 351 369 
470 349 354 
471 348 370 
472 369 371 
473 357 371 
474 345 359 
475 343 344 
476 352 361 
477 359 369 
478 344 348 
479 350 362 
480 347 361 
481 362 366 
482 344 357 
483 363 364 
484 370 372 
485 343 366 
486 350 361 
487 358 371 
488 367 369 
489 347 354 
490 357 368 
491 361 368 
492 348 351 
493 367 368 
494 353 358 
495 350 355 
496 355 358 
497 352 366 
498 364 372 
499 351 363 
500 345 352 
501 352 362 
502 343 354 
503 356 373 
504 356 373 
505 365 372 
506 358 370 
507 351 360 
508 356 360 
509 346 360 
510 356 360 
511 349 368 
512 344 346 
513 346 373 
514 343 357 
515 346 362 
516 349 373 
517 367 371 
518 367 370 
519 89 90 
520 185 616 
521 381 382 
522 381 389 
523 390 396 
524 387 396 
525 384 394 
526 390 392 
527 378 382 
528 381 391 
529 385 395 
530 387 393 
531 392 394 
532 383 389 
533 380 396 
534 390 392 
535 378 388 
536 379 387 
537 376 393 
538 387 394 
539 380 392 
540 381 382 
541 380 390 
542 382 391 
543 384 394 
544 384 393 
545 393 396 
546 377 386 
547 399 400 
548 399 400 
549 398 400 
550 397 398 
551 397 399 
552 397 398 
553 122 402 
554 125 402 
555 138 401 
556 399 401 
557 405 418 
558 416 418 
559 406 412 
560 413 417 
561 404 415 
562 409 414 
563 415 422 
564 411 414 
565 412 422 
566 409 421 
567 413 421 
568 404 422 
569 418 420 
570 407 412 
571 411 420 
572 409 414 
573 409 421 
574 406 421 
575 410 419 
576 405 407 
577 405 413 
578 403 415 
579 405 413 
580 410 422 
581 411 414 
582 411 420 
583 415 420 
584 408 412 
585 424 429 
586 423 425 
587 424 437 
588 424 428 
589 431 435 
590 425 432 
591 426 427 
592 423 436 
593 423 424 
594 428 434 
595 430 436 
596 437 439 
597 436 440 
598 437 439 
599 427 429 
600 428 433 
601 432 434 
602 432 439 
603 432 438 
604 428 433 
605 451 456 
606 451 456 
607 441 443 
608 441 442 
609 453 455 
610 450 456 
611 449 454 
612 443 452 
613 448 456 
614 451 455 
615 445 446 
616 444 455 
617 448 453 
618 446 453 
619 443 455 
620 441 451 
621 443 453 
622 441 447 
623 458 466 
624 457 459 
625 462 463 
626 463 467 
627 463 465 
628 459 465 
629 459 463 
630 459 462 
631 457 466 
632 461 462 
633 464 465 
634 460 462 
635 469 473 
636 471 473 
637 471 472 
638 469 472 
639 470 471 
640 468 469 
641 208 519 
642 476 481 
643 475 482 
644 476 481 
645 481 483 
646 480 481 
647 476 482 
648 477 478 
649 476 480 
650 478 479 
651 485 575 
652 484 492 
653 487 490 
654 488 490 
655 487 489 
656 486 488 
657 486 487 
658 485 492 
659 485 491 
660 494 581 
661 437 493 
662 496 497 
663 495 496 
664 497 498 
665 495 496 
666 496 497 
667 500 505 
668 501 504 
669 499 503 
670 499 500 
671 503 504 
672 500 506 
673 502 506 
674 499 504 
675 504 507 
676 499 506 
677 474 544 
678 512 513 
679 511 515 
680 510 514 
681 509 515 
682 510 512 
683 511 515 
684 510 512 
685 517 518 
686 516 520 
687 516 520 
688 517 520 
689 517 518 
690 516 520 
691 529 537 
692 527 528 
693 528 531 
694 536 537 
695 179 535 
696 528 532 
697 523 554 
698 288 532 
699 526 536 
700 524 527 
701 327 529 
702 525 534 
703 533 535 
704 374 531 
705 528 530 
706 522 525 
707 202 523 
708 522 530 
709 524 526 
710 521 537 
711 245 525 
712 527 531 
713 524 527 
714 522 530 
715 530 532 
716 521 529 
717 524 531 
718 526 533 
719 534 538 
720 523 535 
721 522 536 
722 521 533 
723 475 526 
724 334 537 
725 532 533 
726 523 536 
727 525 534 
728 521 535 
729 529 534 
730 539 546 
731 557 563 
732 550 567 
733 552 569 
734 548 553 
735 555 559 
736 549 556 
737 547 555 
738 562 563 
739 538 568 
740 545 557 
741 542 556 
742 544 566 
743 563 570 
744 555 564 
745 564 569 
746 553 558 
747 552 558 
748 561 566 
749 543 545 
750 544 560 
751 539 556 
752 552 553 
753 543 564 
754 556 565 
755 540 559 
756 553 571 
757 539 567 
758 538 551 
759 548 560 
760 545 552 
761 563 570 
762 539 546 
763 541 551 
764 544 567 
765 538 545 
766 576 580 
767 577 581 
768 577 580 
769 574 578 
770 572 581 
771 579 581 
772 574 580 
773 577 583 
774 572 574 
775 573 577 
776 574 583 
777 579 582 
778 585 586 
779 584 586 
780 584 585 
781 595 596 
782 596 599 
783 590 592 
784 590 601 
785 594 595 
786 592 599 
787 588 591 
788 599 601 
789 595 596 
790 594 598 
791 587 600 
792 594 598 
793 595 597 
794 591 598 
795 596 601 
796 589 599 
797 593 600 
798 606 608 
799 604 609 
800 603 607 
801 603 606 
802 607 611 
803 602 607 
804 605 610 
805 604 605 
806 602 605 
807 603 606 
808 603 606 
809 605 610 
810 614 615 
811 612 614 
812 612 613 
813 612 614 
814 375 617 
815 139 617 
816 192 616 
817 626 628 
818 618 626 
819 628 629 
820 619 627 
821 627 631 
822 621 631 
823 621 622 
824 628 629 
825 624 629 
826 618 619 
827 626 628 
828 620 625 
829 618 619 
830 621 631 
831 620 624 
832 624 630 
833 629 631 
834 622 623 
835 618 626 
836 621 627 
